apákan	35
òórùn	35
àjíǹde	35
tíì	35
ṣamáríà	35
gbìyànjú	35
ọgbẹ́	35
hébírónì	35
síríà	35
ìkọ̀kọ̀	35
èwo	35
ijù	35
sára	35
arúgbó	35
jóásì	35
hẹ́rọ́dù	34
ìtọ́jú	34
ìgbẹ́kẹ̀lé	34
ámálékì	34
ẹ̀san	34
gbilẹ̀	34
rèbékà	34
ìjìnlẹ̀	34
ẹ̀tẹ̀	34
gbẹ̀san	34
kóhátì	34
bálákì	34
èé	34
gbérò	34
míkà	34
ẹlẹ́yà	34
mísípà	33
jéhóṣáfátì	33
hítì	33
nípasẹ̀	33
ẹnì	33
yóòkù	33
mérárì	33
aláró	33
jónà	33
àyàfi	33
ṣọ́	33
hébérù	33
ibùsùn	33
níti	33
òdòdó	33
àyíká	33
olóyè	33
láìní	33
onídàájọ́	33
ọgọ́rùn-ún	33
ìyọnu	32
olùgbàlà	32
ré	32
ù	32
gan-an	32
àìsàn	32
aṣán	32
pákó	32
élì	32
àyànfẹ́	32
áì	32
àgàbàgebè	32
jì	32
níhìn-ín	32
ìpinnu	32
ronú	32
ìkẹyìn	32
kọ́ni	32
kíkorò	32
gátì	32
líà	31
gbọ́n	31
bọ̀wọ̀	31
ìlà-oòrùn	31
sẹ́	31
olùsọ́	31
ewé	31
ábíjà	31
ísákárì	31
sùúrù	31
alákòóso	31
bẹ́tílẹ́hẹ́mù	31
lọ́tì	31
dẹ́sẹ̀	31
àpótí-ẹ̀rí	31
pá	31
bímọ	31
sé	31
ilẹ̀kùn	31
ṣẹ́kù	31
èémí	31
ọ̀la	31
ìṣáájú	31
alábojútó	30
kélẹ́bù	30
àkọsílẹ̀	30
gbígbẹ	30
bẹ́	30
ìrì	30
ìránṣẹ́bìnrin	30
tù	30
sọtẹ́lẹ̀	30
àlùkò	30
májẹ̀mu	30
ku	30
àjòjì	30
ajá	30
lẹ́gbẹ̀ẹ́	30
ìbí	30
wàrà	30
sọkún	30
jésè	30
iyọ̀	30
gbe	30
sìnà	30
kẹ́ta	30
àìní	30
kẹrin	30
kòkòrò	30
sọ̀	30
fihàn	30
ìbéèrè	29
ọ̀gágun	29
yìn	29
mẹ́jọ	29
ọ̀já	29
ìwẹ̀fà	29
èjìká	29
dìtẹ̀	29
balẹ̀	29
kùnà	29
kéje	29
bù	29
gílígálì	29
ìka	29
ìbámu	29
láìpẹ́	29
jẹ́ẹ́	29
nátanì	29
àìṣáyà	29
retí	29
wọ́	29
dídán	29
akọrin	29
sọ̀fọ̀	29
irọ́	29
mímú	29
òjìji	29
ṣògo	29
lójijì	29
àlè	28
àpẹẹrẹ	28
hó	28
foríbalẹ̀	28
gbéra	28
ìwúkàrà	28
rọ́pò	28
àìnípẹ̀kun	28
ma	28
àdàbà	28
ọ̀wọ̀n	28
ṣọ̀fọ̀	28
ilà	28
túká	28
